instance,rohanrajpal/bert-base-codemixed-uncased-sentiment,Sangramsing/whisper-large,michaellee8/wisper-base-jwt,Geotrend/bert-base-15lang-cased,lesliejd/jt-whisper,racheltong/whisper-tiny,nbroad/mt5-base-qgen,AbhirupGhosh/opus-mt-finetuned-en-hi,S-Fry/large,Helsinki-NLP/opus-mt-iir-en,damerajee/hindi-english,nbroad/mt5-small-qgen,Varosa/mbart-many-to-many,aditii09/whisper_eng_asr,bitextor/bicleaner-ai-full-en-hi,patrol90/whisper-large,Helsinki-NLP/opus-mt-en-inc,setu4993/LEALLA-base,Areeb123/En-Hi_Translation_Model,rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,monsoon-nlp/muril-adapted-local,Evan-Lin/whisper-large-v1-tw,defining/maggle,rohanrajpal/bert-base-en-hi-codemix-cased
Ghatiya aurat! Kuch to khuda ka khof kro! Politics k liye quran ka mazaq na urao fazul logon,34,37,37,34,37,37,31,38,37,48,38,31,30,37,30,37,39,28,38,34,29,37,37,34
@TimesNow SC ne kaha Agar Triple talaq ka mudda Islam ka hua toh usme woh dakhal nahi denge...Sirf Hindu Ke Tyohaar Me denge,45,47,47,45,47,47,36,46,47,64,46,36,38,47,38,47,47,36,46,45,38,47,47,45
Jihadi Mindset Beti ko na padhao Beti ko Burkhe me rakho Beti ko terroristo ko bachane ke liye use karo Aur triple talaq deke safar karne do,44,53,53,45,53,53,40,49,53,72,49,40,39,53,39,53,49,36,49,44,40,53,53,44
Yaani Jis Desh mein #TripleTalaq ban hai wo Sab chutiya hai,19,22,22,20,22,22,17,26,22,29,26,17,18,22,18,22,24,18,26,19,19,22,22,19
Its all about politics Agar kisi ko triple talaaq ke bare me nahi pata hai to uske bare me puche  Aur media ko dalali band kar dena chahiye,36,48,48,37,48,48,33,46,48,62,46,33,35,48,35,48,45,33,46,36,32,48,48,36
"Aaj dhoni ko god, magic man bolnewale kabhi usiko gaali de rahe the.. Roflol!  #Irony",35,35,35,35,35,35,31,40,35,48,40,31,29,35,29,35,37,31,40,35,26,35,35,35
Tumhara so called kapil sibbal jb triple talaq ko support karta hai tb tumhara aawaj kyon nahi nikalta. Padhe likhe gawar,41,51,51,42,51,51,37,49,51,65,49,37,37,51,37,51,48,33,49,41,33,51,51,41
Kanoon majhabi ho Par mulk dharm nirpeksh  gazab chahat h logo ki   RT=agree  #TripleTalaq @sardanarohit @nitu_ji @bobbydeol0 @Nikkynikky6,54,67,67,54,67,67,50,66,67,77,66,50,55,67,55,67,63,51,66,54,51,67,67,54
"Play #Dream11 @imKcCricket #PAK11 by #KcFantasyNews Zaman, Shehzad, Azam, Malik, SAhmed, Imad, Shadab, Nawaz/FAshraf Sohail , HAli, Raees.",57,65,65,63,65,65,54,69,65,85,69,54,58,65,58,65,69,56,69,57,57,65,65,57
Bachhe KI maut se JYADA important Hai #TripleTalaq in naspiton KE liye. Muslim dushmani KA ek AUR saboot.,34,38,38,38,38,38,35,48,38,57,48,35,34,38,34,38,45,31,48,34,33,38,38,34
# triple talaq se bhe tez badhai nitish ji 4 instant talaq.iddat bhe poori nahi ke turant nikah.#tejasvi to bahana tha bjp mai jaana tha .2,48,62,62,48,62,62,46,61,62,79,61,46,45,62,45,62,61,45,61,48,43,62,62,48
Mam aap kabhi BJP KA SUPPORT KARTE DIKHTE H .  BHIR DEKHTA HU SABHI PARTY KO AARE HAAATH LETE H .  KYA YE BHI EK POLITICS TO NAHI H MAM,48,63,63,69,63,63,51,77,63,97,77,51,51,63,51,63,70,48,77,48,65,63,63,48
Saare baghwaan apne ghar pe hai. Chaar dham ki yatra mat karo. Uttrakhand mat jao. - Aunty who was in Uttrakhand to meet God. #Irony,47,51,51,47,51,51,45,54,51,75,54,45,45,51,45,51,54,46,54,47,42,51,51,47
Agar yahi chlta rha...to #BOLLYWOOD Ka future khatre mein hai,22,24,24,27,24,24,17,28,24,33,28,17,20,24,20,24,27,21,28,22,24,24,24,22
@narendramodi @gssjodhpur @VasundharaBJP @AmitShah #jodhpurbanarthana triple Talaq se pidit Roshan Banu ka Bura Haal please help,48,58,58,48,58,58,41,54,58,77,54,41,45,58,45,58,50,41,54,48,41,58,58,48
QAUM KO BEWAQOOF BANANEY K SAU TAREEQON MEIN PEHLA NUMBER IS DRAMAY KA HOGA FREINDLY PATHEECHER MATCHES KO CRICKET KI BAHALI KA NAAM DE DIYA,43,62,62,73,62,62,50,79,62,106,79,50,58,62,58,62,74,53,79,43,69,62,62,43
"Batao ek taraf Congress Ram Rahim ke liye BJP ko kos rahi hai, dusri taraf  politics ke Ram Rahim, Lalu  ke saath manch share kar rahi hai.",48,51,51,45,51,51,38,53,51,73,53,38,35,51,35,51,51,33,53,48,32,51,51,48
Rastra Ke Liye Unhone Jo Kiya Wo Koi Bollywood Actor Nahi Kiya... Nagrikta Par Sawaal Kyo? Wo Hamare Liye Nationalist Hi Rahenge..,44,45,45,44,45,45,40,48,45,64,48,40,38,45,38,45,48,41,48,44,45,45,45,44
Bhutto ko maray 50 saal hogaye lakin ajj bhi bhutto kay pottat/nawasay bhutto k naam per vote le raye hain RIP politics #ChiniotBhuttoKa,47,52,52,49,52,52,42,56,52,73,56,42,45,52,45,52,56,39,56,47,42,52,52,47
Maiden shabash bas ab aisay he khelo -.- #Sarcasm,19,19,19,19,19,19,19,23,19,27,23,19,19,19,19,19,23,17,23,19,19,19,19,19
"#Reliance Arey Aap ki company ki advertisement kum ho gai ?Aisa mat kariyo,aap thode aur lutt lo aam janta ko lekin top par raho #irony #pun",50,52,52,50,52,52,46,56,52,77,56,46,43,52,43,52,55,41,56,50,40,52,52,50
Main bachata raha deemak se ghar apna..aur kuch kursi ke keedey poora desh khaa gaye.. :/ #Pappu #irony #maunibaba #India,49,54,54,49,54,54,47,57,54,67,57,47,44,54,44,54,56,41,57,49,41,54,54,49
"Marcos Trescothick Ka Summer Set Se Muhaida, Meri Bhook Khuwaish & Jazba Bilkul Usi Tarah Mazboot Hai Jab Maine Cricket Ka Aaghaz Kiya Tha.",48,51,51,47,51,51,41,56,51,70,56,41,41,51,41,51,51,44,56,48,49,51,51,48
5th ODI :10 number jersey pehen ne se tendulkar ban jate to baat hi kuch aur thi . #IndvsSL @SPN_Cricket,36,44,44,37,44,44,36,49,44,60,49,36,38,44,38,44,47,32,49,36,31,44,44,36
Tuje acchse janta hu. Tuje kabhi profit nahi hota he tip me par loss pakka hota he. Cricket insider ki bahot tarif karta tha na to ja US ko,44,51,51,44,51,51,38,55,51,75,55,38,38,51,38,51,52,39,55,44,39,51,51,44
Kam se kam Jai shree ram keh k jaan to bach jaati hai..... Kahi allah hu akhbar keh k jaane le li jaati hai.....,48,40,40,49,40,40,35,54,40,62,54,35,33,40,33,40,52,41,54,48,41,40,40,48
@kamaalrkhan Bhai Jann Prabhas bhi hona chaiye is list main usne bollywood 2rs. ppl ke maa bhen ek kardi hai,39,43,43,39,43,43,38,44,43,60,44,38,36,43,36,43,46,30,44,39,30,43,43,39
Dar chutiya hai ye bhi. Bachche mar gaye aur isse politics sujh rahi hai.,26,26,26,25,26,26,20,28,26,38,28,20,22,26,22,26,28,20,28,26,19,26,26,26
Golden Era of bollywood 2010-2016 Now end... Jisme film or star ke naam pe kuch bhi chal jata.. ab nahi chalega.. Achha lao nahi to jao..,47,50,50,48,50,50,40,54,50,70,54,40,41,50,41,50,54,43,54,47,44,50,50,47
"Bhai ji ye jo aapne itni badi baat kahi hai wo triple talaq pe q ni kha tha. Wo bhi to ek tarah ka julm hi tha,aapne awaj q ni uthaya",48,61,61,48,61,61,46,62,61,78,62,46,45,61,45,61,62,42,62,48,39,61,61,48
#childkillersarkar lagata hai koi minority aur dalit nai dead kia.Aisa hota to pura vipaksh aaj road pae hota.Phr vote politics chalu hota.,45,51,51,46,51,51,42,52,51,72,52,42,45,51,45,51,52,41,52,45,35,51,51,45
Sarah Lal Chowk Srinagar main Jake Bharat Mata ki Jai bolnay ke liyee Desh Bhakti ka Janoon chahiyee . No politics please .Better understand,47,46,46,45,46,46,39,48,46,73,48,39,40,46,40,46,42,32,48,47,29,46,46,47
#TripleTalaq Kya congress ka Kapil sibbal supreme court mein Ram mandir ke liye bhe astha wali daleel ke saath Ram mandir ka  paksh rakhega?,48,47,47,47,47,47,40,53,47,68,53,40,41,47,41,47,50,41,53,48,34,47,47,48
Ji is baat me ham aapse sahemat hai....phir viklp badhane ko kyu naa sochate?....padhe likhe log kyu naa politics me interest le rahe hai ?,52,49,49,52,49,49,45,60,49,76,60,45,47,49,47,49,58,47,60,52,42,49,49,52
Main ne Pakistan mein cricket ki wapsi se zyada Allah se Misbah fans ko aqal deny ki duaein ki thein per khair jo cheez mumkin thi wo hogai.,41,48,48,41,48,48,39,54,48,76,54,39,40,48,40,48,48,38,54,41,37,48,48,41
Bharat ke politics ke liye Koi shakat kaanun banana chahiye nahi to future me democracy se logo barosha uth jaayega.,36,38,38,36,38,38,32,41,38,58,41,32,30,38,30,38,37,28,41,36,27,38,38,36
"Jitne Bhi Ladke Aj Women's Day Women's Day Kar Rahe Hai,Unme Se 98% Ladke To Roz Maa Behen Ki Galiya Dete Hai. -_- #irony",48,47,47,49,47,47,43,52,47,65,52,43,43,47,43,47,52,45,52,48,48,47,47,48
"InshaAllah Pakistan mn cricket dobara bhaal ho jae gi,,  aur phir ground sajen gae, phir khel hongae!!!!!",38,36,36,38,36,36,35,45,36,54,45,35,33,36,33,36,45,35,45,38,35,36,36,38
Agar Ladki Ulti Karti Hai To uska ek hi Karan mana jata hai Ki Woh Pregnant Hai ! #Bollywood,29,33,33,30,33,33,28,39,33,49,39,28,28,33,28,33,39,27,39,29,30,33,33,29
Very sad. Aaj ki politics ladne ke liye purvajon ko badnam mat karo.,21,24,24,21,24,24,21,25,24,37,25,21,20,24,20,24,23,20,25,21,19,24,24,21
Kuch jyada change kar diya politics lagta hai,12,14,14,12,14,14,10,14,14,22,14,10,11,14,11,14,14,11,14,12,11,14,14,12
Umar ho gayi hai. Shayad bhool gaye ho. 2 months back riots killed people in Bashirhat. Tab Kahan thay Aap? #TripleTalaq bachaa rahey thay?,48,52,52,49,52,52,51,54,52,81,54,51,44,52,44,52,53,42,54,48,43,52,52,48
mera matlab triple talaq dilwane wallon ke saang yarri hai unki jo apni biwiyon ko na talaq dete hain na suhagan banne diya to pls ye bhi,44,57,57,45,57,57,41,57,57,70,57,41,42,57,42,57,55,40,57,44,39,57,57,44
bhai wo log kitna cricket khelnge..!! insaan hain wo bhi..!! time milega toh hi toh khel paayenge..!! Ashwin wagehra toh khel hi rahe hain,54,55,55,54,55,55,40,61,55,73,61,40,40,55,40,55,60,49,61,54,43,55,55,54
"Baazaar to saja diye Milad-e-Mustafa (saw) ke liye,  Paighaam-e-Mustafa (saw) kya hai, ye hum ne bhula diya'.... #Kashmir !",54,55,55,51,55,55,44,60,55,69,60,44,51,55,51,55,60,45,60,54,46,55,55,54
Wo to dall gaya hai per abhi jo hazir service hai Un ko q nai samjh ah rahi 3 borders per halat kharab hai aur wo politics kar rahye hai,40,43,43,41,43,43,37,56,43,71,56,37,40,43,40,43,53,35,56,40,37,43,43,40
Hamary Mulk Mein Roz Cricket Bahal Ho rahe Hote Hai Pata Hai Kyu Kyu ke Ham Log Jahil Hai yeh ek Lolipophai,36,37,37,37,37,37,32,44,37,56,44,32,32,37,32,37,40,35,44,36,35,37,37,36
TRIPLE TALAQ MARDO ka ho gaya MODI N YOGI KUCH KARO AAMIR KO JAIL MEIN DAL DO PURE BHARAT KI APSE GUHAR HEIN,33,48,48,53,48,48,39,55,48,75,55,39,41,48,41,48,54,38,55,33,52,48,48,33
Culturally rich honge..par gavaaro ki basti bhi mera desh. #SuSaid #irony #india,28,32,32,29,32,32,29,34,32,41,34,29,28,32,28,32,33,26,34,28,26,32,32,28
har cheez mahangi ho rahi hai rupaye ko chhod ke #irony,18,21,21,19,21,21,17,25,21,28,25,17,17,21,17,21,25,16,25,18,14,21,21,18
"Triple Talaq kya ban hua , Mulle aise chilla rahe hai jaise inki lulli hi kaat di ho",29,34,34,29,34,34,27,32,34,46,32,27,27,34,27,34,30,25,32,29,23,34,34,29
"BLB 102/8 (20 ov), Summary: Manjesh Reddy 30(33), Pavan Deshpande 28(25). Sakuja 3/20, Ritesh Bhatkal 1/6. #BLBvHT #Cricket",55,60,60,57,60,60,44,60,60,75,60,44,49,60,49,60,60,52,60,55,58,60,60,55
Koi apne naam k aage or plchhe RAM lagaker aur koi RAM ka naam pr gandi politics krke bhagwaan RAM Jaise aadarsh charitra ko badnaam krte ha,48,50,50,45,50,50,42,56,50,78,56,42,42,50,42,50,57,42,56,48,38,50,50,48
"Ye bhai bhi bada ajib he, Khud hi poster lagata he, Khud hi use farzi batata he Ye he politics. Politics ke liye koi itna niche gir sakta h",44,46,46,45,46,46,42,48,46,78,48,42,42,46,42,46,49,38,48,44,39,46,46,44
"Halaala apni maan SE, behen ke saath, tripleTalaq, polygamy, terrorism, 4shadi sooar ki tarah 40bachche muslim culture hai. U HATE #UCC",45,56,56,47,56,56,40,49,56,72,49,40,43,56,43,56,48,43,49,45,44,56,56,45
Aaj sale fielding bhi achhi krenge... Puri cricket aaj hi khel loge Chutiyo #IndvsSL,32,32,32,33,32,32,29,36,32,46,36,29,29,32,29,32,37,29,36,32,28,32,32,32
Aap ko Ik ne party me shamil nahi Kia Jo k aap ki bharpoor koshish thi yehi wajah thi k Ik ko family politics Pasand nahi,39,45,45,39,45,45,32,46,45,63,46,32,34,45,34,45,45,33,46,39,34,45,45,39
to Vasundhra ne kya kiya hai 8 jato ko ticket deke vo cast politics nahi hai kya,24,29,29,24,29,29,20,29,29,38,29,20,22,29,22,29,29,21,29,24,22,29,29,24
jaa bhai tu cricket khel. kuch bhi bhaukta rehta h,19,22,22,19,22,22,17,22,22,27,22,17,17,22,17,22,23,16,22,19,14,22,22,19
Sanjive sir aap bikul sahi bol rahe ho bjp ki sarkar me sirf politics walo ki azadi hai aur desh ke liter on ki nas baki aam admi Mar raha h,49,51,51,49,51,51,43,60,51,70,60,43,45,51,45,51,56,42,60,49,38,51,51,49
Ungli karne ki aadat nhi gayi tum logo ka. Bhai cricket wapas aa raha hai usme khush hona chahiye.,34,39,39,34,39,39,33,41,39,55,41,33,30,39,30,39,40,28,41,34,25,39,39,34
Ab kaun aajkal aise twitter mein bhi darshan dete hain?! @Nirmalbabaji ki tarah! Hum dhanya hue!,38,40,40,37,40,40,31,43,40,52,43,31,31,40,31,40,42,30,43,38,24,40,40,38
Sabhi se anirodh hai. Pradesh m abhi kuch sahi chal rha. Rajneta Zara politics band Karo aur logo ki madad Karo.,39,41,41,37,41,41,29,45,41,58,45,29,34,41,34,41,40,33,45,39,33,41,41,39
Sab samajh rahi hun mai media se kahna mai Bollywood me kam karne nahi aai India to kya karne aai ho tumhe kya lagta hai ye sab karogi mai,45,49,49,43,49,49,39,58,49,66,58,39,36,49,36,49,57,34,58,45,34,49,49,45
Air survey chor kar Jo log bhuk pyas se marr rhe hai unko to dyan diya jayega ya bss isme vhi politics khela jyega....kuch kijiye... pic.twitter.com/BvTvF6DK88,71,62,62,72,62,62,53,74,62,92,74,53,59,62,59,62,68,58,74,71,60,62,62,71
@kitAnurag  *Mahabharat*  Arjun tumhe kya dikh raha hai? A-Machli ki aankh  *Bollywood*  Arjun tumhe kya dikh raha ha? A- Shraddha ki..aankh,57,70,70,57,70,70,46,70,70,80,70,46,50,70,50,70,63,48,70,57,45,70,70,57
Kapil Sibal ne to triple talaq mamale me bhi case lada tha aur buri tarah muh ki khani padi thi ...is bar bhi wohi hal hoga,42,53,53,42,53,53,34,46,53,59,46,34,36,53,36,53,45,38,46,42,36,53,53,42
Ameen.  Jab ap jaise qabil lug politics main ayen ge tu inshaAllah asa jald ho jae ga,29,31,31,30,31,31,25,34,31,49,34,25,27,31,27,31,34,26,34,29,28,31,31,29
"Apt song for u 2day. Tum itna q muskara rahe ho,kya gum hai jisko chupa rahe ho? #TripleTalaq @AnupamPkher @SirPareshRawal",49,54,54,53,54,54,46,57,54,71,57,46,47,54,47,54,54,46,57,49,47,54,54,49
@vikrantgupta73 tu chala jaya kar khelne agar itna pata h cricket k baare mei..or budho ko bitha k bakwas bulwate ho. #Stopwatching @aajtak,53,54,54,53,54,54,48,59,54,79,59,48,48,54,48,54,61,46,59,53,49,54,54,53
Aur triple talaq Miya  vahan bhi kadi ninda kar dete apni behno ke liye.,26,33,33,26,33,33,22,32,33,35,32,22,22,33,22,33,32,21,32,26,19,33,33,26
Modi ko itna mat koso warna jald hi pure parivar saith mitti mein mil jaoge. Had se jyada negative politics accha nahi hota.,35,42,42,37,42,42,36,45,42,67,45,36,36,42,36,42,43,34,45,35,33,42,42,35
Ye saala rapist hai. House arrest kro isko bhe #bollywood waale Kahn gye.,26,26,26,25,26,26,21,26,26,43,26,21,23,26,23,26,26,21,26,26,21,26,26,26
Ye bhi politics hai....aisi rehamdil Saja milti hai India Mai tabhi to rape hote hai continuous....,32,32,32,33,32,32,26,33,32,50,33,26,31,32,31,32,34,30,33,32,28,32,32,32
#Bollywood #contestalert  1. Hawa HawA 2. Chalti hai kya nau se baara 3. Kaala chashma.   jachda e gore mukhde pe,43,49,49,42,49,49,35,47,49,60,47,35,37,49,37,49,49,35,47,43,40,49,49,43
